threshold,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,TP,TN,FP,FN
52,0.6313559322033898,0.9125,0.30416666666666664,0.45625,0.03017241379310345,0.6958333333333333,73,225,7,167
53,0.5953389830508474,0.9016393442622951,0.22916666666666666,0.3654485049833887,0.02586206896551724,0.7708333333333334,55,226,6,185
54,0.5826271186440678,0.8909090909090909,0.20416666666666666,0.33220338983050846,0.02586206896551724,0.7958333333333333,49,226,6,191
55,0.5677966101694916,0.8913043478260869,0.17083333333333334,0.2867132867132867,0.021551724137931036,0.8291666666666667,41,227,5,199
56,0.5529661016949152,0.8717948717948718,0.14166666666666666,0.24372759856630824,0.021551724137931036,0.8583333333333333,34,227,5,206
57,0.5338983050847458,0.8571428571428571,0.1,0.1791044776119403,0.017241379310344827,0.9,24,228,4,216
58,0.527542372881356,0.84,0.0875,0.15849056603773584,0.017241379310344827,0.9125,21,228,4,219
59,0.5233050847457628,0.8260869565217391,0.07916666666666666,0.1444866920152091,0.017241379310344827,0.9208333333333333,19,228,4,221
60,0.5148305084745762,0.7894736842105263,0.0625,0.11583011583011583,0.017241379310344827,0.9375,15,228,4,225
61,0.5169491525423728,0.8333333333333334,0.0625,0.11627906976744186,0.01293103448275862,0.9375,15,229,3,225
62,0.5084745762711864,0.7857142857142857,0.04583333333333333,0.08661417322834646,0.01293103448275862,0.9541666666666667,11,229,3,229
63,0.5042372881355932,0.75,0.0375,0.07142857142857142,0.01293103448275862,0.9625,9,229,3,231
64,0.5,0.7,0.029166666666666667,0.056,0.01293103448275862,0.9708333333333333,7,229,3,233
65,0.5,0.7,0.029166666666666667,0.056,0.01293103448275862,0.9708333333333333,7,229,3,233
66,0.5021186440677966,0.7777777777777778,0.029166666666666667,0.05622489959839357,0.008620689655172414,0.9708333333333333,7,230,2,233
67,0.5021186440677966,0.7777777777777778,0.029166666666666667,0.05622489959839357,0.008620689655172414,0.9708333333333333,7,230,2,233
68,0.5,0.75,0.025,0.04838709677419355,0.008620689655172414,0.975,6,230,2,234
69,0.5021186440677966,0.8571428571428571,0.025,0.048582995951417005,0.004310344827586207,0.975,6,231,1,234
70,0.4957627118644068,0.75,0.0125,0.02459016393442623,0.004310344827586207,0.9875,3,231,1,237
71,0.4978813559322034,1.0,0.0125,0.024691358024691357,0.0,0.9875,3,232,0,237
72,0.4978813559322034,1.0,0.0125,0.024691358024691357,0.0,0.9875,3,232,0,237
73,0.4978813559322034,1.0,0.0125,0.024691358024691357,0.0,0.9875,3,232,0,237
74,0.4936440677966102,1.0,0.004166666666666667,0.008298755186721992,0.0,0.9958333333333333,1,232,0,239
75,0.4936440677966102,1.0,0.004166666666666667,0.008298755186721992,0.0,0.9958333333333333,1,232,0,239
76,0.4936440677966102,1.0,0.004166666666666667,0.008298755186721992,0.0,0.9958333333333333,1,232,0,239
77,0.4936440677966102,1.0,0.004166666666666667,0.008298755186721992,0.0,0.9958333333333333,1,232,0,239
78,0.4936440677966102,1.0,0.004166666666666667,0.008298755186721992,0.0,0.9958333333333333,1,232,0,239
79,0.4915254237288136,0.0,0.0,0.0,0.0,1.0,0,232,0,240
80,0.4915254237288136,0.0,0.0,0.0,0.0,1.0,0,232,0,240
